Имя,Фамилия,Номер телефона,Адрес,Дата рождения
Агафья,Рзаева,+7 (931) 954-08-18,"423984, Г. Ясный, Ул. Яна Райниса Б-Р, Дом 91, Квартира 919",10 Апреля 1996 Года
Лучезар,Бабенко,+7 (946) 526-11-58,"627013, Г. Пеньки, Ул. Глебовский Пер, Дом 67, Квартира 247",17 Августа 1989 Года
Ольга,Веселкова,+7 (930) 552-32-41,"186855, Г. Кыштовка, Ул. Природная, Дом 174, Квартира 994",13 Марта 1991 Года
Елисей,Никифоров,+7 (950) 914-83-65,,25 Июля 1972 Года
Марта,Милованова,+7 (941) 824-70-58,,
Альберт,Дмитриев,+7 (923) 061-68-34,"353500, Г. Чапаевск, Ул. Рубежная, Дом 7, Квартира 175",24 Января 1987 Года
